_id,from,to
69d400827dca6ba0935a8245,ARN,POR
69d400827dca6ba0935a8246,ARN,TRF
69d400827dca6ba0935a8247,ARN,VBY
69d400827dca6ba0935a8248,ARN,VHM
69d400827dca6ba0935a8249,ARN,VXO
69d400827dca6ba0935a824a,GEV,ARN
69d400827dca6ba0935a824b,GEV,KRF
69d400827dca6ba0935a824c,HAD,ARN
69d400827dca6ba0935a824d,HAD,JKG
69d400827dca6ba0935a824e,HAD,VXO
69d400827dca6ba0935a824f,HMV,VHM
69d400827dca6ba0935a8250,JKG,ARN
69d400827dca6ba0935a8251,JKG,HAD
69d400827dca6ba0935a8252,KOK,POR
69d400827dca6ba0935a8253,KRF,ARN
69d400827dca6ba0935a8254,KRF,GEV
69d400827dca6ba0935a8255,KSD,ARN
69d400827dca6ba0935a8256,LYC,AJR
69d400827dca6ba0935a8257,LYC,ARN
69d400827dca6ba0935a8258,MHQ,ARN
69d400827dca6ba0935a8259,MHQ,TKU
69d400827dca6ba0935a825a,OER,ARN
69d400827dca6ba0935a825b,OSL,VXO
69d400827dca6ba0935a825c,POR,ARN
69d400827dca6ba0935a825d,POR,KOK
69d400827dca6ba0935a825e,TKU,MHQ
69d400827dca6ba0935a825f,TRF,ARN
69d400827dca6ba0935a8260,VBY,ARN
69d400827dca6ba0935a8261,VHM,ARN
69d400827dca6ba0935a8262,VHM,HMV
69d400827dca6ba0935a8263,VXO,ARN
69d400827dca6ba0935a8264,VXO,OSL
69d400827dca6ba0935a8265,ADQ,AOS
69d400827dca6ba0935a8266,ADQ,KKB
69d400827dca6ba0935a8267,ADQ,KLN
69d400827dca6ba0935a8268,ADQ,KOZ
69d400827dca6ba0935a8269,ADQ,OLH
69d400827dca6ba0935a826a,AOS,KZB
69d400827dca6ba0935a826b,KKB,SYB
69d400827dca6ba0935a826c,KLN,KYK
69d400827dca6ba0935a826d,KOZ,ORI
69d400827dca6ba0935a826e,SYB,KPR
69d400827dca6ba0935a826f,BSO,MNL
69d400827dca6ba0935a8270,BXU,MNL
69d400827dca6ba0935a8271,CBO,MNL
69d400827dca6ba0935a8272,CGY,MNL
69d400827dca6ba0935a8273,CRM,MNL
69d400827dca6ba0935a8274,DGT,MNL
69d400827dca6ba0935a8275,DWC,MNL
69d400827dca6ba0935a8276,GES,MNL
69d400827dca6ba0935a8277,KLO,MNL
69d400827dca6ba0935a8278,LGP,MNL
69d400827dca6ba0935a8279,MNL,BSO
69d400827dca6ba0935a827a,MNL,BXU
69d400827dca6ba0935a827b,MNL,CBO
69d400827dca6ba0935a827c,MNL,CGY
69d400827dca6ba0935a827d,MNL,CRM
69d400827dca6ba0935a827e,MNL,DGT
69d400827dca6ba0935a827f,MNL,DWC
69d400827dca6ba0935a8280,MNL,GES
69d400827dca6ba0935a8281,MNL,KLO
69d400827dca6ba0935a8282,MNL,LGP
69d400827dca6ba0935a8283,MNL,MPH
69d400827dca6ba0935a8284,MNL,OZC
69d400827dca6ba0935a8285,MNL,PPS
69d400827dca6ba0935a8286,MNL,RXS
69d400827dca6ba0935a8287,MNL,SUG
69d400827dca6ba0935a8288,MNL,TUG
69d400827dca6ba0935a8289,MNL,ZAM
69d400827dca6ba0935a828a,MPH,MNL
69d400827dca6ba0935a828b,OZC,MNL
69d400827dca6ba0935a828c,PPS,MNL
69d400827dca6ba0935a828d,RXS,MNL
69d400827dca6ba0935a828e,SUG,MNL
69d400827dca6ba0935a828f,TUG,MNL
69d400827dca6ba0935a8290,ZAM,MNL
69d400827dca6ba0935a8291,AUX,PMW
69d400827dca6ba0935a8292,BRA,BSB
69d400827dca6ba0935a8293,BRA,SSA
69d400827dca6ba0935a8294,BSB,BRA
69d400827dca6ba0935a8295,BSB,OPS
69d400827dca6ba0935a8296,BSB,RAO
69d400827dca6ba0935a8297,CAC,GRU
69d400827dca6ba0935a8298,CGB,GYN
69d400827dca6ba0935a8299,CGB,OPS
69d400827dca6ba0935a829a,CGR,DOU
69d400827dca6ba0935a829b,DOU,CGR
69d400827dca6ba0935a829c,DOU,GRU
69d400827dca6ba0935a829d,GIG,RAO
69d400827dca6ba0935a829e,GRU,CAC
69d400827dca6ba0935a829f,GRU,DOU
69d400827dca6ba0935a82a0,GRU,RAO
69d400827dca6ba0935a82a1,GRU,UBA
69d400827dca6ba0935a82a2,GRU,UDI
69d400827dca6ba0935a82a3,GRU,VDC
69d400827dca6ba0935a82a4,GYN,CGB
69d400827dca6ba0935a82a5,GYN,PMW
69d400827dca6ba0935a82a6,GYN,RAO
69d400827dca6ba0935a82a7,GYN,UDI
69d400827dca6ba0935a82a8,OPS,BSB
69d400827dca6ba0935a82a9,OPS,CGB
69d400827dca6ba0935a82aa,PLU,RAO
69d400827dca6ba0935a82ab,PMW,AUX
69d400827dca6ba0935a82ac,PMW,GYN
69d400827dca6ba0935a82ad,RAO,BSB
69d400827dca6ba0935a82ae,RAO,GIG
69d400827dca6ba0935a82af,RAO,GRU
69d400827dca6ba0935a82b0,RAO,GYN
69d400827dca6ba0935a82b1,RAO,PLU
69d400827dca6ba0935a82b2,RAO,SJP
69d400827dca6ba0935a82b3,RAO,UDI
69d400827dca6ba0935a82b4,SJP,RAO
69d400827dca6ba0935a82b5,SSA,BRA
69d400827dca6ba0935a82b6,SSA,VDC
69d400827dca6ba0935a82b7,UBA,GRU
69d400827dca6ba0935a82b8,UBA,UDI
69d400827dca6ba0935a82b9,UDI,GRU
69d400827dca6ba0935a82ba,UDI,GYN
69d400827dca6ba0935a82bb,UDI,RAO
69d400827dca6ba0935a82bc,UDI,UBA
69d400827dca6ba0935a82bd,VDC,GRU
69d400827dca6ba0935a82be,VDC,SSA
69d400827dca6ba0935a82bf,BRL,ORD
69d400827dca6ba0935a82c0,BRL,STL
69d400827dca6ba0935a82c1,DEC,ORD
69d400827dca6ba0935a82c2,DEC,STL
69d400827dca6ba0935a82c3,JBR,STL
69d400827dca6ba0935a82c4,ORD,BRL
69d400827dca6ba0935a82c5,ORD,DEC
69d400827dca6ba0935a82c6,STL,BRL
69d400827dca6ba0935a82c7,STL,DEC
69d400827dca6ba0935a82c8,STL,JBR
69d400827dca6ba0935a82c9,CGA,HYL
69d400827dca6ba0935a82ca,CGA,KTN
69d400827dca6ba0935a82cb,HYL,CGA
69d400827dca6ba0935a82cc,HYL,KTB
69d400827dca6ba0935a82cd,HYL,KTN
69d400827dca6ba0935a82ce,KTB,HYL
69d400827dca6ba0935a82cf,KTB,KTN
69d400827dca6ba0935a82d0,KTN,CGA
69d400827dca6ba0935a82d1,KTN,HYL
69d400827dca6ba0935a82d2,KTN,KTB
69d400827dca6ba0935a82d3,KTN,MTM
69d400827dca6ba0935a82d4,MTM,KTN
69d400827dca6ba0935a82d5,ACC,DKR
69d400827dca6ba0935a82d6,ACC,LOS
69d400827dca6ba0935a82d7,ACC,ROB
69d400827dca6ba0935a82d8,BCN,BJL
69d400827dca6ba0935a82d9,BJL,BCN
69d400827dca6ba0935a82da,BJL,DKR
69d400827dca6ba0935a82db,BJL,FNA
69d400827dca6ba0935a82dc,CKY,OXB
69d400827dca6ba0935a82dd,DKR,ACC
