flugroute_id,abflug_iata,ankunft_iata,richtung,de_flughafen_iata,de_flughafen_typ,ausland_stadt,ausland_flughafen_iata,fluege_bestaetigt,fluege_gesamt,airlines_bestaetigt,airlines_gesamt,anzahl_portale,portale_liste,distanz_km,distanz_kategorie
69d400827dca6ba0935b04de,MUC,EDI,ab DE,MUC,Hub,Edinburgh,EDI,12,14,4,4,2,"fluegede,idealo",1330.0,Mittel (500-1500km)
69d400827dca6ba0935b0406,EDI,MUC,nach DE,MUC,Hub,Edinburgh,EDI,12,14,4,4,2,"fluegede,idealo",1330.0,Mittel (500-1500km)
69d400827dca6ba0935aa6ac,FRA,BOM,ab DE,FRA,Hub,Mumbai,BOM,12,14,2,2,2,"fluegede,idealo",6571.0,Lang (>1500km)
69d400827dca6ba0935ab4c4,FRA,PEK,ab DE,FRA,Hub,Beijing,PEK,12,14,2,2,2,"fluegede,idealo",7789.0,Lang (>1500km)
69d400827dca6ba0935b7aad,TIA,DTM,nach DE,DTM,Provinz,Tirana,TIA,12,14,1,1,2,"fluegede,idealo",1453.0,Mittel (500-1500km)
69d400827dca6ba0935b3265,DTM,TIA,ab DE,DTM,Provinz,Tirana,TIA,12,14,1,1,2,"fluegede,idealo",1453.0,Mittel (500-1500km)
69d400827dca6ba0935afc42,STR,CPH,ab DE,STR,Hub,Copenhagen,CPH,12,14,1,1,2,"fluegede,idealo",805.0,Mittel (500-1500km)
69d400827dca6ba0935ae8ea,BRU,HAM,nach DE,HAM,Hub,Brussels,BRU,12,14,1,1,2,"fluegede,idealo",519.0,Mittel (500-1500km)
69d400827dca6ba0935ae95b,FRA,LNZ,ab DE,FRA,Hub,Linz,LNZ,12,14,1,1,2,"fluegede,idealo",456.0,Kurz (0-500km)
69d400827dca6ba0935b1dce,BER,VCE,ab DE,BER,Hub,Venezia,VCE,12,13,5,5,2,"fluegede,idealo",767.0,Mittel (500-1500km)
69d400827dca6ba0935ae9c5,MUC,ADB,ab DE,MUC,Hub,Izmir,ADB,12,13,2,2,2,"fluegede,idealo",1667.0,Lang (>1500km)
69d400827dca6ba0935b1db6,BER,OTP,ab DE,BER,Hub,Bucharest,OTP,12,13,2,2,2,"fluegede,idealo",1267.0,Mittel (500-1500km)
69d400827dca6ba0935ae8ce,ADB,MUC,nach DE,MUC,Hub,Izmir,ADB,12,13,2,2,2,"fluegede,idealo",1667.0,Lang (>1500km)
69d400827dca6ba0935aa66c,BOM,FRA,nach DE,FRA,Hub,Mumbai,BOM,11,235,5,28,2,"fluegede,idealo",6571.0,Lang (>1500km)
69d400827dca6ba0935a9fa0,YYC,FRA,nach DE,FRA,Hub,Calgary,YYC,11,212,6,16,2,"fluegede,idealo",7528.0,Lang (>1500km)
69d400827dca6ba0935ae9d1,MUC,CAI,ab DE,MUC,Hub,Cairo,CAI,11,212,3,28,2,"fluegede,idealo",2623.0,Lang (>1500km)
69d400827dca6ba0935a9e3b,FRA,YYC,ab DE,FRA,Hub,Calgary,YYC,11,195,8,19,2,"fluegede,idealo",7528.0,Lang (>1500km)
69d400827dca6ba0935a9bb9,CTA,FRA,nach DE,FRA,Hub,Catania,CTA,11,132,2,13,2,"fluegede,idealo",1490.0,Mittel (500-1500km)
69d400827dca6ba0935a9c1c,FRA,CTA,ab DE,FRA,Hub,Catania,CTA,11,130,3,19,2,"fluegede,idealo",1490.0,Mittel (500-1500km)
69d400827dca6ba0935a9b67,AGP,CGN,nach DE,CGN,Hub,Malaga,AGP,11,122,2,13,2,"fluegede,idealo",1829.0,Lang (>1500km)
69d400827dca6ba0935ac4e8,DUB,HAM,nach DE,HAM,Hub,Dublin,DUB,11,111,2,11,2,"fluegede,idealo",1073.0,Mittel (500-1500km)
69d400827dca6ba0935abd4b,FRA,FNC,ab DE,FRA,Hub,Funchal,FNC,11,103,4,12,2,"fluegede,idealo",2834.0,Lang (>1500km)
69d400827dca6ba0935a9c21,FRA,LCY,ab DE,FRA,Hub,London,LCY,11,93,2,9,2,"fluegede,idealo",619.0,Mittel (500-1500km)
69d400827dca6ba0935ac31d,CGN,ALC,ab DE,CGN,Hub,Alicante,ALC,11,79,2,5,2,"fluegede,idealo",1524.0,Lang (>1500km)
